八佰,上映23天,26.13亿,5998.14
信条,上映9天,3.24亿,3157.72
我的女友是机器人,上映2天,2168.4万,911.17
1/2的魔法,上映25天,5801.3万,276.41
我在时间尽头等你,上映19天,4.91亿,177.92
辉夜大小姐想让我告白,上映2天,184.3万,109.05
阿里巴巴与神灯,上映8天,1529.7万,83.50
假面饭店,上映9天,1476.5万,51.73
小妇人,上映19天,4503.6万,47.57
新愚公移山,上映3天,113.0万,45.36
秀美人生,上映7天,593.1万,30.07
哈利·波特与魔法石,,2.46亿,25.53
极寒风暴,上映2天,43.4万,22.19
未知嫌疑人,上映3天,95.6万,19.70
死无对证,点映,19.3万,13.97
误杀,,13.31亿,11.64
盗梦空间,,4.94亿,11.42
小公主艾薇拉与神秘王国2,上映22天,385.2万,11.22
关机,上映首日,11.3万,11.12
蓝色防线,点映,10.9万,10.90
港珠澳大桥,,803.0万,10.52
梅艳芳菲,上映19天,55.8万,9.55
北平会馆,上映24天,735.6万,8.70
魔发精灵2,上映23天,671.6万,6.67
极限父子,上映33天,26.1万,6.14
半条棉被,上映9天,145.6万,6.00
雪人奇缘,,1.45亿,5.04
天池水怪,,27.6万,4.77
天下无毒,上映30天,59.0万,4.67
秃涂陌路,上映30天,16.0万,3.86
大河向东流之沁源故事,上映16天,9.8万,3.54
电力之战,上映16天,497.5万,3.11
有钱特烦恼,上映30天,13.1万,3.00
1917,上映37天,6896.1万,2.59
难忘的岁月,展映,16.3万,2.40
扑蝶,展映,256.2万,2.13
星际穿越,,8.76亿,2.00
麦路人,点映,1.6万,1.68
城市梦,上映16天,227.8万,1.49
追梦险途,上映25天,47.5万,1.36
一辈子的姐弟,,32.0万,1.26
活着唱着,上映16天,40.4万,1.12
幸福是什么？,上映33天,4.1万,1.10
荞麦疯长,上映19天,5212.0万,1.07
带你归家,上映34天,37.0万,1.00
花木兰,上映首日,5569.7万,5401.17
八佰,上映22天,25.53亿,3737.97
信条,上映8天,2.93亿,1410.77
我的女友是机器人,上映首日,1257.3万,1089.67
秀美人生,上映6天,563.1万,94.15
我在时间尽头等你,上映18天,4.89亿,76.90
辉夜大小姐想让我告白,上映首日,75.3万,75.27
新愚公移山,上映2天,67.6万,31.86
1/2的魔法,上映24天,5524.9万,27.05
极寒风暴,上映首日,21.2万,21.19
半条棉被,上映8天,139.6万,21.04
小公主艾薇拉与神秘王国2,上映21天,374.0万,19.42
假面饭店,上映8天,1424.8万,18.35
小妇人,上映18天,4456.0万,16.28
未知嫌疑人,上映2天,75.9万,15.94
阿里巴巴与神灯,上映7天,1446.1万,15.00
梅艳芳菲,上映18天,46.3万,9.09
误杀,,13.31亿,8.25
天下无毒,上映29天,54.3万,8.18
港珠澳大桥,,792.4万,6.78
哈利·波特与魔法石,,2.46亿,6.43
死无对证,点映,5.3万,5.33
你是最美,上映4天,10.0万,5.00
北平会馆,上映23天,726.9万,4.89
盗梦空间,,4.94亿,4.33
极限父子,上映32天,20.0万,3.75
半条被子,上映7天,17.9万,3.71
天池水怪,,22.8万,3.63
大河向东流之沁源故事,上映15天,6.2万,2.69
秃涂陌路,上映29天,12.1万,2.54
带你归家,上映33天,36.0万,2.50
无“疯”也起浪,上映15天,78.1万,2.05
活着唱着,上映15天,39.3万,1.99
有钱特烦恼,上映29天,10.1万,1.71
难忘的岁月,展映,13.9万,1.56
一辈子的姐弟,,30.7万,1.38
八佰,上映21天,25.16亿,3307.28
信条,上映7天,2.79亿,1451.89
我在时间尽头等你,上映17天,4.89亿,289.93
花木兰,零点场,168.5万,165.80
假面饭店,上映7天,1406.4万,85.64
秀美人生,上映5天,468.9万,63.72
未知嫌疑人,上映首日,59.9万,59.82
我的女友是机器人,零点场,167.6万,58.35
小妇人,上映17天,4439.8万,45.68
1/2的魔法,上映23天,5497.8万,40.12
新愚公移山,上映首日,35.8万,32.73
盗梦空间,,4.94亿,25.46
小公主艾薇拉与神秘王国2,上映20天,354.6万,19.40
半条棉被,上映7天,118.5万,18.24
哈利·波特与魔法石,,2.46亿,18.14
北平会馆,上映22天,722.0万,10.43
活着唱着,上映14天,37.3万,8.84
误杀,,13.31亿,7.82
阿里巴巴与神灯,上映6天,1431.1万,7.25
无“疯”也起浪,上映14天,76.1万,6.64
荞麦疯长,上映17天,5210.5万,5.88
天下无毒,上映28天,46.2万,5.68
你是最美,上映3天,5.0万,5.00
港珠澳大桥,,785.7万,3.53
电力之战,上映14天,493.6万,2.50
半条被子,上映6天,14.2万,2.17
梅艳芳菲,上映17天,37.2万,2.02
一辈子的姐弟,,29.4万,1.69
星际穿越,,8.76亿,1.55
1917,上映35天,6893.0万,1.40
